Ultralytics 8.3.105 🚀 Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)
YOLO11n summary (fused): 100 layers, 2,583,322 parameters, 0 gradients, 6.3 GFLOPs

video 1/1 (frame 1/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 43.9ms
video 1/1 (frame 2/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 12.3ms
video 1/1 (frame 3/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 4/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.1ms
video 1/1 (frame 5/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 6/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 7/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 8/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 9/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 10/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.5ms
video 1/1 (frame 11/615) /content/test/capstone (1).mp4: 384x640 (no detections), 14.2ms
video 1/1 (frame 12/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 13/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 14/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 15/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 16/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 17/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 18/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 19/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.8ms
video 1/1 (frame 20/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 21/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 22/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 23/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 24/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 25/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.5ms
video 1/1 (frame 26/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 27/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 28/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 29/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 30/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 31/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 32/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 33/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 34/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 35/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 36/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 37/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 38/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 39/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 40/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 41/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 42/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 43/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 44/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 45/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 46/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 47/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 48/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 49/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.8ms
video 1/1 (frame 50/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 51/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 12.2ms
video 1/1 (frame 52/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 53/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 54/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.6ms
